구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강남구,2211.97,1961.97,1816.74,0,일반,GS칼텍스
강남구,2172.14,1921.24,1751.34,0,일반,GS칼텍스
강남구,2110.29,1852.74,1691.42,0,일반,GS칼텍스
강남구,1956,1676,1589,0,일반,GS칼텍스
강남구,1978.58,1695.45,1593.03,0,일반,GS칼텍스
강남구,2039.6,1775.6,1594.27,0,일반,GS칼텍스
강남구,1743,1573,1404,0,셀프,현대오일뱅크
강남구,1735.07,1557.48,1398.62,0,셀프,현대오일뱅크
강남구,1711.19,1497.19,1321.94,0,셀프,현대오일뱅크
강남구,1589,1371.17,1168.57,0,셀프,현대오일뱅크
강남구,1488.42,1280.42,1078.42,0,셀프,현대오일뱅크
강남구,1505,1323.33,1120.67,0,셀프,현대오일뱅크
강남구,1759,1588,1419,1170,일반,현대오일뱅크
강남구,1751.07,1571.1,1412.24,1170,일반,현대오일뱅크
강남구,1727.19,1508.32,1336.61,1170,일반,현대오일뱅크
강남구,1605,1384.67,1183.57,1149,일반,현대오일뱅크
강남구,1504.42,1295.42,1093.42,1071.29,일반,현대오일뱅크
강남구,1521,1338.33,1136,1079.23,일반,현대오일뱅크
강남구,2016,1873,1699,0,일반,현대오일뱅크
강남구,2004.97,1849.55,1684.86,0,일반,현대오일뱅크
강남구,1979.23,1756.87,1612.87,0,일반,현대오일뱅크
강남구,1903,1627.33,1464.67,0,일반,현대오일뱅크
강남구,1896,1550.74,1391.74,0,일반,현대오일뱅크
강남구,1896,1541,1382,0,일반,현대오일뱅크
강남구,2048,1898,1698,0,일반,현대오일뱅크
강남구,2030.41,1893.86,1693.86,0,일반,현대오일뱅크
강남구,1986.06,1814.77,1614.77,0,일반,현대오일뱅크
강남구,1844,1658,1476,0,일반,현대오일뱅크
강남구,1789.94,1570.58,1394.45,0,일반,현대오일뱅크
강남구,1804.67,1582,1388.33,0,일반,현대오일뱅크
강남구,2189,1999,1903,0,일반,SK에너지
강남구,2189,1999,1868.93,0,일반,SK에너지
강남구,2165.9,1975,1816.42,0,일반,SK에너지
강남구,2069.8,1878.6,1709.67,0,일반,SK에너지
강남구,1995.9,1805.77,1630.16,0,일반,SK에너지
강남구,2029,1839,1659,0,일반,현대오일뱅크
강남구,2289,1999,1896.03,1347.39,일반,SK에너지
강남구,2286.52,1996.52,1857.55,1266.52,일반,SK에너지
강남구,2248.03,1960.29,1795.13,1155.26,일반,SK에너지
강남구,2143.73,1853.73,1684,952.47,일반,SK에너지
강남구,2069.71,1779.71,1599.9,915.32,일반,SK에너지
강남구,2079,1789,1609,1025,일반,현대오일뱅크
강동구,1898,1698,1529,1250,일반,GS칼텍스
강동구,1891.1,1691.1,1518.66,1250,일반,GS칼텍스
강동구,1821.87,1621.87,1442.87,1231.94,일반,GS칼텍스
강동구,1698.33,1498.33,1319.33,1206.9,일반,GS칼텍스
강동구,1601.23,1401.23,1206.1,1112.68,일반,GS칼텍스
강동구,1627.67,1427.67,1228.67,1103,일반,GS칼텍스
강동구,0,1635.42,1485.42,0,셀프,GS칼텍스
강동구,0,1590.41,1438.69,0,셀프,GS칼텍스
강동구,0,1548.97,1381.23,0,셀프,GS칼텍스
강동구,0,1417,1235.33,0,셀프,GS칼텍스
강동구,0,1368.65,1177.03,0,셀프,GS칼텍스
강동구,0,1447,1247,0,셀프,GS칼텍스
강동구,0,1620.26,1466.06,0,셀프,S-OIL
강동구,0,1587.66,1435.59,0,셀프,S-OIL
강동구,0,1546.06,1378.97,0,셀프,S-OIL
강동구,0,1412.33,1230.67,0,셀프,S-OIL
강동구,0,1351.55,1159.29,0,셀프,S-OIL
강동구,0,1403.67,1203.67,0,셀프,S-OIL
강동구,0,1618.32,1491.55,1170,셀프,SK에너지
강동구,0,1603.52,1468,1170,셀프,SK에너지
강동구,0,1536.71,1398,1170,셀프,SK에너지
강동구,0,1397.33,1255.67,1170,셀프,SK에너지
강동구,0,1329.29,1159.94,1060.32,셀프,SK에너지
강동구,0,1386.8,1231.33,1000,셀프,SK에너지
강동구,2294.77,1992.35,1793.77,1287,일반,SK에너지
강동구,2262.14,1959.21,1755.28,1269.76,일반,SK에너지
강동구,2183.81,1885.58,1677.32,1267,일반,SK에너지
강동구,2077.33,1765.93,1565.67,1140.33,일반,SK에너지
강동구,2062.84,1738.84,1533.45,1110.55,일반,SK에너지
강동구,2131.67,1803.47,1605.33,1097,일반,SK에너지
강동구,0,1665.1,1505.1,1230,일반,S-OIL
강동구,0,1658.69,1498.69,1230,일반,S-OIL
강동구,0,1613.48,1443.16,1230,일반,S-OIL
강동구,0,1501.67,1321.67,1230,일반,S-OIL
강동구,0,1431.87,1251.87,1230,일반,S-OIL
강동구,0,1474.33,1280.67,1230,일반,S-OIL
강동구,0,1582.74,1444.1,0,일반,현대오일뱅크
강동구,0,1553.9,1382.86,0,일반,현대오일뱅크
강동구,0,1486.58,1296.35,0,일반,현대오일뱅크
강동구,0,1331.33,1145.67,0,일반,현대오일뱅크
강동구,0,1266.58,1078.61,0,일반,현대오일뱅크
강동구,0,1354.33,1159,0,일반,현대오일뱅크
강동구,1796.39,1646.06,1498,1190.32,일반,GS칼텍스
강동구,1775.24,1608.69,1475.24,1200,일반,GS칼텍스
강동구,1731.55,1547.68,1399.61,1161.29,일반,GS칼텍스
강동구,1642,1431,1250,1100,일반,GS칼텍스
강동구,1580.26,1362.19,1172.52,1019.35,일반,GS칼텍스
강동구,1633.33,1426.67,1227.33,1000,일반,GS칼텍스
강동구,0,1615.39,1469.26,1160,셀프,SK에너지
강동구,0,1595.97,1439.76,1160,셀프,SK에너지
강동구,0,1524.23,1349.06,1160,셀프,SK에너지
강동구,0,1371.8,1191.8,1160,셀프,SK에너지
강동구,0,1298.87,1117.9,1107.14,셀프,SK에너지
강동구,0,1392.33,1202.33,975,셀프,SK에너지
강동구,1949,1619,1454.16,1166.61,셀프,SK에너지
강동구,1915.48,1584.24,1403.14,1123.83,셀프,SK에너지
강동구,1837.39,1508.13,1321.9,1027.84,셀프,SK에너지
강동구,1690.13,1360.17,1180.87,813.2,셀프,SK에너지
강동구,1623.06,1293.06,1118.87,777.13,셀프,SK에너지
강동구,1686,1370,1186,886.2,셀프,현대오일뱅크
강동구,0,1596,1476,1147,일반,SK에너지
