"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 08월","현대오일뱅크","일반","1898.00","1657.00","1477.00","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 09월","현대오일뱅크","일반","1894.67","1653.67","1470.33","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 10월","현대오일뱅크","일반","1878.00","1637.00","1437.00","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 11월","현대오일뱅크","일반","1868.00","1624.33","1424.00","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 12월","현대오일뱅크","일반","1879.29","1637.71","1438.65","1328.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 07월","SK에너지","일반","2086.74","1824.19","1646.45","1250.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 08월","SK에너지","일반","2097.00","1839.00","1654.32","1250.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 09월","SK에너지","일반","2106.00","1848.00","1659.00","1250.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 10월","SK에너지","일반","2106.00","1848.00","1659.00","1250.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 11월","SK에너지","일반","2097.33","1848.00","1659.00","1250.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 12월","SK에너지","일반","2099.77","1868.90","1671.42","1275.16"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 07월","S-OIL","일반","2085.35","1819.52","1645.26","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 08월","S-OIL","일반","2094.39","1833.39","1653.94","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 09월","S-OIL","일반","2106.00","1845.00","1664.00","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 10월","S-OIL","일반","2106.00","1845.00","1664.00","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 11월","S-OIL","일반","2106.00","1845.00","1664.00","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 12월","S-OIL","일반","2106.32","1860.26","1672.68","0.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 07월","GS칼텍스","셀프","1717.00","1527.00","1376.00","1200.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 08월","GS칼텍스","셀프","1717.00","1527.00","1378.74","1200.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 09월","GS칼텍스","셀프","1717.00","1527.00","1366.80","1200.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 10월","GS칼텍스","셀프","1694.96","1508.97","1351.48","1180.56"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 07월","SK에너지","일반","2330.00","2025.00","1865.00","1260.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 08월","SK에너지","일반","2330.00","2025.00","1865.00","1260.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 09월","SK에너지","일반","2330.00","2025.00","1865.00","0.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 10월","SK에너지","일반","2330.00","2025.00","1865.00","1260.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 11월","SK에너지","일반","2330.00","2023.33","1865.00","1260.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 12월","SK에너지","일반","2330.00","2023.39","1865.00","1260.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 07월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 08월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 09월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 10월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2020년 11월","SK에너지","일반","1750.00","1550.00","1350.00","0.00"
