"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 03월","현대오일뱅크","일반","1976.35","1754.45","1554.45","0.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 04월","현대오일뱅크","일반","1883.13","1633.80","1462.63","1328.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 05월","현대오일뱅크","일반","1857.00","1576.68","1405.39","1350.00"
"A0009715","서울 강남구","㈜새서울석유 새서울주유소","서울 강남구 압구정로 154","2020년 06월","현대오일뱅크","일반","1881.60","1599.67","1419.67","0.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 01월","SK에너지","일반","2285.00","1995.00","1889.90","1337.58"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 02월","SK에너지","일반","2283.24","1993.24","1864.10","1333.93"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 03월","SK에너지","일반","2246.48","1955.48","1803.84","1306.39"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 04월","SK에너지","일반","2143.00","1854.27","1686.67","940.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 05월","SK에너지","일반","2063.52","1773.87","1594.74","910.00"
"A0001171","서울 강남구","갤러리아주유소","서울 강남구 압구정로 426","2020년 06월","SK에너지","일반","2074.90","1790.50","1618.80","1113.13"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 01월","S-OIL","일반","2279.10","1989.00","1886.61","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 02월","S-OIL","일반","2280.00","1989.00","1871.72","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 03월","S-OIL","일반","2251.77","1958.71","1807.90","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 04월","S-OIL","일반","2146.43","1854.33","1693.23","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 05월","S-OIL","일반","2065.32","1772.74","1595.65","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2020년 06월","S-OIL","일반","2071.60","1788.67","1617.27","0.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 01월","GS칼텍스","셀프","1860.00","1697.00","1556.90","1250.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 02월","GS칼텍스","셀프","1842.59","1666.38","1521.59","1250.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 03월","GS칼텍스","셀프","1819.48","1629.84","1503.52","1229.03"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 04월","GS칼텍스","셀프","1760.87","1559.27","1460.47","1193.33"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 05월","GS칼텍스","셀프","1668.26","1468.26","1355.42","1153.23"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2020년 06월","GS칼텍스","셀프","1702.87","1510.20","1370.80","1150.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 01월","SK에너지","일반","2498.00","2218.00","2038.00","1460.00"
"A0009707","서울 강남구","뉴서울(강남)","서울 강남구 언주로 716","2020년 02월","SK에너지","일반","2491.79","2211.79","2025.59","1460.00"
